127.0.0.1 - - [09/Feb/2016:09:19:07 +0800] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [09/Feb/2016:09:19:48 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 5565
127.0.0.1 - - [09/Feb/2016:09:19:48 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:48 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:48 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:19:49 +0800] "GET /francisBlog/img/calendar.jpg HTTP/1.1" 304 -
127.0.0.1 - - [09/Feb/2016:09:20:04 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:44 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 5565
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:44 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:45 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:45 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:45 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:45 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:45 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:45 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:20:48 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:11 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:11 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:11 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:11 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:11 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:11 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:12 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:12 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:12 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:12 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:12 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:12 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2016:09:32:55 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
