127.0.0.1 - - [07/May/2016:23:25:56 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:57 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6199
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:58 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:58 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:27:59 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:00 +0800] "GET /francisBlog/jsp/_category.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:00 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:02 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:06 +0800] "POST /francisBlog/jsp/articleType_query.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:07 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:08 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "GET /francisBlog/upload/DataFlow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "GET /francisBlog/upload/HDFS%E4%B8%8D%E9%80%82%E7%94%A8%E7%9A%84%E7%8E%AF%E5%A2%83.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "GET /francisBlog/upload/blob HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "GET /francisBlog/upload/MapReduce%E4%B8%8E%E5%85%B3%E7%B3%BB%E5%9E%8B%E6%95%B0%E6%8D%AE%E5%BA%93%E5%8C%BA%E5%88%AB.png HTTP/1.1" 404 6199
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:10 +0800] "GET /francisBlog/upload/MapReduce%E9%80%BB%E8%BE%91%E6%95%B0%E6%8D%AE%E6%B5%81.png HTTP/1.1" 404 6199
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6157
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/jsp/_category.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "POST /francisBlog/jsp/articleType_query.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:52 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:53 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:54 +0800] "GET /francisBlog/jsp/login.jsp HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [07/May/2016:23:28:55 +0800] "GET /francisBlog/img/dwddxqtxw.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:02 +0800] "POST /francisBlog/jsp/user_login.action HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:02 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:03 +0800] "GET /francisBlog/jsp/_category.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:03 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:03 +0800] "POST /francisBlog/jsp/articleType_query.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:03 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:03 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:05 +0800] "GET /francisBlog/jsp/admin.jsp HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:06 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:07 +0800] "GET /francisBlog/jsp/_category.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:07 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:07 +0800] "POST /francisBlog/jsp/articleType_query.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:07 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:07 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:09 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:09 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:09 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:09 +0800] "GET /francisBlog/upload/MapReduce%E4%B8%8E%E5%85%B3%E7%B3%BB%E5%9E%8B%E6%95%B0%E6%8D%AE%E5%BA%93%E5%8C%BA%E5%88%AB.png HTTP/1.1" 404 6299
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:09 +0800] "GET /francisBlog/upload/MapReduce%E9%80%BB%E8%BE%91%E6%95%B0%E6%8D%AE%E6%B5%81.png HTTP/1.1" 404 6299
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6297
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/jsp/_category.jsp HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:37 +0800] "POST /francisBlog/jsp/articleType_query.action HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:38 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:38 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:39 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:39 +0800] "POST /francisBlog/jsp/article_query.action HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:39 +0800] "GET /francisBlog/upload/MapReduce%E9%80%BB%E8%BE%91%E6%95%B0%E6%8D%AE%E6%B5%81.png HTTP/1.1" 404 6297
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:39 +0800] "GET /francisBlog/upload/MapReduce%E4%B8%8E%E5%85%B3%E7%B3%BB%E5%9E%8B%E6%95%B0%E6%8D%AE%E5%BA%93%E5%8C%BA%E5%88%AB.png HTTP/1.1" 404 6297
0:0:0:0:0:0:0:1 - - [07/May/2016:23:29:39 +0800] "POST /francisBlog/jsp/article_querySize.action HTTP/1.1" 200 17
