127.0.0.1 - - [18/Feb/2016:16:02:13 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:14 +0800] "GET /francisBlog/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:43 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6091
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:44 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:44 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:44 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:44 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:49 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:49 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:49 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:49 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:49 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:49 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:50 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:02:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:03:36 +0800] "GET /francisBlog/jsp/_article_detail.jsp HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:03:36 +0800] "GET /francisBlog/jsp/_comment.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:03:37 +0800] "GET /francisBlog/jsp/_article_reply.jsp HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [18/Feb/2016:16:55:02 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:28 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6091
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:29 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:29 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:29 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:29 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:29 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:30 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:13:33 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:18:44 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6091
0:0:0:0:0:0:0:1 - - [18/Feb/2016:17:18:44 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 304 -
