127.0.0.1 - - [16/Feb/2016:08:04:34 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:04:37 +0800] "GET /francisBlog/ HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:58 +0800] "GET /francisBlog/jsp/index.jsp HTTP/1.1" 200 6091
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/css/font-awesome.min.css HTTP/1.1" 200 22134
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/js/jquery.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/css/fsblog.css HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/js/fsblog.js HTTP/1.1" 200 4599
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/util/simditor/scripts/simditor.js HTTP/1.1" 200 177534
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/util/simditor/styles/font-awesome.min.css HTTP/1.1" 200 22134
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/util/simditor/scripts/hotkeys.js HTTP/1.1" 200 5219
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/util/simditor/scripts/uploader.js HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:06:59 +0800] "GET /francisBlog/util/simditor/styles/simditor.css HTTP/1.1" 200 28372
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:00 +0800] "GET /francisBlog/util/simditor/scripts/module.js HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:00 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:01 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:04 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:09 +0800] "GET /francisBlog/jsp/_article_new_reply.jsp HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:13 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:14 +0800] "GET /francisBlog/jsp/_article_new_reply.jsp HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:15 +0800] "GET /francisBlog/jsp/_article_add.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:16 +0800] "GET /francisBlog/jsp/_article_list.jsp HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [16/Feb/2016:08:07:17 +0800] "GET /francisBlog/jsp/_article_detail.jsp HTTP/1.1" 200 1230
